Plot_no,Forest_type,Basal_area_m2_per_ha,Canopy_openness_percent,Forest_age_years
7,Reg_Forest,13.4,14.1,30
49,Reg_Forest,19.7,9.7,30
58,Reg_Forest,26,4.5,43
62,Open_land,0,60.7,0
75,Mature_forest,23.1,4.4,38
83,Reg_Forest,22.2,4.9,20
90,Reg_Forest,21.1,5.2,20
107,Mature_forest,26.6,3.9,33
119,Open_land,0,71.4,0
126,Open_land,2.3,52.3,0
145,Reg_Forest,21.4,6,28
189,Mature_forest,27.8,4.2,50
192,Mature_forest,27.3,4.6,50
207,Open_land,3.3,52.8,0
214,Mature_forest,43.6,3.1,50
217,Mature_forest,22.8,5.6,50
234,Reg_Forest,21.8,3.8,20
240,Mature_forest,33.8,3.8,50
259,Reg_Forest,19.9,14,NA
271,Reg_Forest,8.5,5.8,15
357,Open_land,2.9,55.3,0
365,Mature_forest,27.1,4.2,50
372,Reg_Forest,29.6,5.9,29
381,Reg_Forest,14.7,4.4,26
382,Open_land,5.6,40.2,0
398,Mature_forest,30.6,4.5,50
404,Mature_forest,35.9,4.3,50
405,Reg_Forest,20.6,7,20
