SampleID,Chao1,se.chao1,Shannon,Chao1_strict_sqrt,Tree,Forest,Plot,Subplot,Wood_log_ID,Time,Species,Position,Tag_nb,Installment_date,Water_cont_ini,WSG_ini,Coll_No,Coll_date,Water_cont_later,WSG_later,Remarks,W_density,Per_WSG_loss,Termi.assum,Blue_Staining,Brown_Rot,Hypogeous,Poisonous,Soft_Rot,Soft_Rot.fungus_Seehann_et_al_1975.,White_Rot,Unassigned,Pathogen.Saprotroph.Symbiotroph,Pathotroph,Pathotroph.Saprotroph,Pathotroph.Saprotroph.Symbiotroph,Pathotroph.Symbiotroph,Saprotroph,Saprotroph.Pathotroph.Symbiotroph,Saprotroph.Symbiotroph,Symbiotroph
MD10,576.2173913,23.42829781,4.417528854,24.00452856,J,Regenerating_forest,7,1,7271,18mo,Castanopsis_mekongensis,down,7271,06/11/2011,0.687076644,0.853662979,Coll_4,31/05/2013,0.363321799,0.727959698,,0.725552417,14.7251649,1,15,0,0,0,499,0,102,6480,1,2198,119,493,13,4454,0,1035,352
MD100,190.0555556,23.72426492,2.220144708,13.78606382,Q,Regenerating_forest,145,3,7418,18mo,Castanopsis_mekongensis,down,7418,29/10/2011,0.707921581,0.753543118,Coll_4,23/05/2013,0.290598291,0.536697248,,0.648576007,28.7768364,0,0,0,0,0,11,0,28,1668,0,25,16,92,17,1922,0,32,185
MD102,37.66666667,1.145936271,1.609180957,6.137317547,17,Mature_forest,189,1,7323,18mo,Litsea_cubeba,down,7323,12/11/2011,0.71972409,0.411549103,Coll_4,13/06/2013,1.128712871,0.297058824,,0.37756313,27.8193487,0,0,0,8,0,28,0,294,670,0,10,2,0,2,405,0,0,10
MD103,152.0526316,15.25814387,2.460084605,12.33096231,18,Mature_forest,189,3,7327,18mo,Litsea_cubeba,down,7327,12/11/2011,1.122215984,0.393823248,Coll_4,13/06/2013,0.231155779,0.369888476,,0.357021149,6.0775417,0,1,0,0,0,18,0,426,2438,0,24,46,16,5,1041,0,584,212
MD104,228.1290323,15.14124305,2.88657798,15.10394095,18,Mature_forest,189,7,7324,18mo,Litsea_cubeba,down,7324,12/11/2011,1.122215984,0.393823248,Coll_4,13/06/2013,0.414473684,0.312757202,,0.357021149,20.5843729,0,0,0,0,0,89,0,2466,4154,2,634,15,131,1865,3568,0,53,3
MD107,146.125,7.594563939,3.102841889,12.0882174,C,Mature_forest,189,3,7219,18mo,Castanopsis_mekongensis,down,7219,12/11/2011,0.751553444,0.746104098,Coll_4,13/06/2013,0.195121951,0.427083333,,0.647518258,42.7582111,0,736,0,0,0,6,0,906,661,0,841,18,27,14,2302,0,301,643
MD108,220.1176471,9.944309275,2.873992555,14.83636233,D,Mature_forest,189,7,7234,18mo,Castanopsis_mekongensis,down,7234,12/11/2011,0.913873995,0.714593611,Coll_4,13/06/2013,0.222857143,0.562700965,,0.619035765,21.255808,0,0,208,0,0,135,0,144,1174,106,1134,41,72,27,2614,0,3211,60
MD109,159.1666667,20.53860313,1.166933013,12.61612725,D,Mature_forest,189,1,7230,18mo,Castanopsis_mekongensis,down,7230,12/11/2011,0.913873995,0.714593611,Coll_4,13/06/2013,0.223938224,0.594036697,,0.619035765,16.8706958,1,0,4495,0,0,41,0,0,128,0,122,8,14,2,5257,0,41,27
MD110,273.7916667,27.08738393,2.354757843,16.54665122,D,Mature_forest,189,9,7228,18mo,Castanopsis_mekongensis,down,7228,12/11/2011,0.913873995,0.714593611,Coll_4,13/06/2013,0.240418118,0.701711491,,0.619035765,1.8027196,0,0,0,0,0,13,0,99,1938,4,282,37,16,26,590,0,3301,5
MD111,254.1666667,18.45431576,2.561422431,15.94260539,7,Mature_forest,192,1,7152,18mo,Litsea_cubeba,down,7152,24/11/2011,0.884082833,0.409380487,Coll_4,17/06/2013,0.872727273,0.237068966,,0.372801608,42.0907998,0,0,0,0,0,87,0,3129,4447,36,147,60,70,773,6834,0,8,6
MD112,223.875,25.18270618,3.840564667,14.96245301,7,Mature_forest,192,3,7151,18mo,Litsea_cubeba,down,7151,24/11/2011,0.884082833,0.409380487,Coll_4,17/06/2013,0.582822086,0.450276243,,0.372801608,2.6693688,0,2,0,1,0,658,0,1,2382,13,140,592,44,135,2003,0,11,9
