Species,Time,Plot,Subplot,Termi.assum,Forest
Castanopsis_mekongensis,18mo,7,1,0,Regenerating_forest
Litsea_cubeba,18mo,7,1,0,Regenerating_forest
Castanopsis_mekongensis,36mo,7,1,0,Regenerating_forest
Litsea_cubeba,36mo,7,1,0,Regenerating_forest
Castanopsis_mekongensis,18mo,145,1,0,Regenerating_forest
Litsea_cubeba,18mo,145,1,0,Regenerating_forest
Castanopsis_mekongensis,36mo,145,1,0,Regenerating_forest
Litsea_cubeba,36mo,145,1,0,Regenerating_forest
Castanopsis_mekongensis,18mo,189,1,0,Mature_forest
Litsea_cubeba,18mo,189,1,0,Mature_forest
Castanopsis_mekongensis,36mo,189,1,0,Mature_forest
Litsea_cubeba,36mo,189,1,0,Mature_forest
Castanopsis_mekongensis,18mo,192,1,0,Mature_forest
Litsea_cubeba,18mo,192,1,0,Mature_forest
Castanopsis_mekongensis,36mo,192,1,0,Mature_forest
Litsea_cubeba,36mo,192,1,0,Mature_forest
Castanopsis_mekongensis,18mo,207,1,0,Open_land
Litsea_cubeba,18mo,207,1,0,Open_land
Castanopsis_mekongensis,36mo,207,1,0,Open_land
Litsea_cubeba,36mo,207,1,0,Open_land
Castanopsis_mekongensis,18mo,49,1,0,Regenerating_forest
Litsea_cubeba,18mo,49,1,0,Regenerating_forest
Castanopsis_mekongensis,36mo,49,1,0,Regenerating_forest
Litsea_cubeba,36mo,49,1,0,Regenerating_forest
Castanopsis_mekongensis,18mo,214,1,0,Mature_forest
Litsea_cubeba,18mo,214,1,0,Mature_forest
Castanopsis_mekongensis,36mo,214,1,0,Mature_forest
Litsea_cubeba,36mo,214,1,0,Mature_forest
Castanopsis_mekongensis,18mo,217,1,0,Mature_forest
Litsea_cubeba,18mo,217,1,0,Mature_forest
Castanopsis_mekongensis,36mo,217,1,0,Mature_forest
Litsea_cubeba,36mo,217,1,0,Mature_forest
Castanopsis_mekongensis,18mo,234,1,0,Regenerating_forest
Litsea_cubeba,18mo,234,1,0,Regenerating_forest
Castanopsis_mekongensis,36mo,234,1,0,Regenerating_forest
Litsea_cubeba,36mo,234,1,0,Regenerating_forest
Castanopsis_mekongensis,18mo,240,1,0,Mature_forest
Litsea_cubeba,18mo,240,1,0,Mature_forest
Castanopsis_mekongensis,36mo,240,1,0,Mature_forest
